,Google Images,generative.fashion
0,81.77462420993692,60.552043180271056
1,57.66333730929219,87.94946634136876
2,68.4687076777493,75.84990225471859
3,37.01543082601753,58.650936003236176
4,73.63371045621585,64.94289358962149
5,52.518031019483615,47.623243477766806
6,59.04297351356291,58.26712510593408
7,65.22328356548314,108.32924871922798
8,58.35810638884387,56.673936818588004
9,79.92170376385545,63.39764898750073
10,75.61341902653766,80.35747712140348
11,56.79468605086017,60.346224877484794
12,42.548466657474435,93.25148345900737
13,87.55803091958194,50.01914215105268
14,65.18652164864108,72.95739516820345
15,73.69754432032592,71.6424682171013
16,35.63706888889912,60.8100688017457
17,32.03530196922205,40.82923783868388
18,80.01068201432128,60.633400610154396
19,66.86616788455929,79.01489495929836
20,67.38606306819494,63.36147535252233
21,80.90513042378267,75.48734901697163
22,52.97240703563121,88.12101715133136
23,47.097332892532776,75.06608697722838
24,38.28623035961982,77.40550696242792
25,47.74103744954452,71.6187233977289
26,78.24511967446152,67.16248041548076
27,74.18797128873769,76.91634892609665
28,51.25924042741515,69.77530264320684
29,103.35964540404707,97.24195604924326
30,76.83435279825999,77.38775284224934
31,81.50296399487245,55.04496747035627
32,93.76627009337764,90.07069230651932
33,53.16920614043025,94.5616402352166
34,66.86910229138776,50.916486899614426
35,41.47760267141708,77.14262938196697
36,66.08288420808456,90.69348168689544
37,42.70425108023052,52.768534278773316
38,66.47321746939294,67.45693656940932
39,72.47285875324897,105.22162875493905
40,80.16265315928254,70.52614927581388
41,88.91114738990794,74.43126692425072
42,50.08344836127751,87.99205791565501
43,64.42987495559146,72.26305720201663
44,39.46788328959356,60.574671327479926
45,40.09950834169565,36.563487257180846
46,50.13776770605866,66.82370046353974
47,111.08785646729766,67.95629310007203
